classification_prompt,genre
"Tell me about the movie The Shining released in 1980. It is directed by Stanley Kubrick and stars Jack Nicholson, duration of movie is 146.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie The Blue Lagoon released in 1980. It is directed by Randal Kleiser and stars Brooke Shields, duration of movie is 104.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Star Wars: Episode V - The Empire Strikes Back released in 1980. It is directed by Irvin Kershner and stars Mark Hamill, duration of movie is 124.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Airplane! released in 1980. It is directed by Jim Abrahams and stars Robert Hays, duration of movie is 88.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Caddyshack released in 1980. It is directed by Harold Ramis and stars Chevy Chase, duration of movie is 98.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Friday the 13th released in 1980. It is directed by Sean S. Cunningham and stars Betsy Palmer, duration of movie is 95.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie The Blues Brothers released in 1980. It is directed by John Landis and stars John Belushi, duration of movie is 133.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Raging Bull released in 1980. It is directed by Martin Scorsese and stars Robert De Niro, duration of movie is 129.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie Superman II released in 1980. It is directed by Richard Lester and stars Gene Hackman, duration of movie is 127.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie The Long Riders released in 1980. It is directed by Walter Hill and stars David Carradine, duration of movie is 100.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie Any Which Way You Can released in 1980. It is directed by Buddy Van Horn and stars Clint Eastwood, duration of movie is 116.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie The Gods Must Be Crazy released in 1980. It is directed by Jamie Uys and stars N!xau, duration of movie is 109.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Popeye released in 1980. It is directed by Robert Altman and stars Robin Williams, duration of movie is 114.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Ordinary People released in 1980. It is directed by Robert Redford and stars Donald Sutherland, duration of movie is 124.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Dressed to Kill released in 1980. It is directed by Brian De Palma and stars Michael Caine, duration of movie is 104.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie Somewhere in Time released in 1980. It is directed by Jeannot Szwarc and stars Christopher Reeve, duration of movie is 103.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Fame released in 1980. It is directed by Alan Parker and stars Eddie Barth, duration of movie is 134.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie 9 to 5 released in 1980. It is directed by Colin Higgins and stars Jane Fonda, duration of movie is 109.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Fog released in 1980. It is directed by John Carpenter and stars Adrienne Barbeau, duration of movie is 89.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Stir Crazy released in 1980. It is directed by Sidney Poitier and stars Gene Wilder, duration of movie is 111.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Cruising released in 1980. It is directed by William Friedkin and stars Al Pacino, duration of movie is 102.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie Heaven's Gate released in 1980. It is directed by Michael Cimino and stars Kris Kristofferson, duration of movie is 219.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie The Final Countdown released in 1980. It is directed by Don Taylor and stars Kirk Douglas, duration of movie is 103.0 minutes. What is Genre of this movie?",Action
